Intern_ID,Name,Department,Tasks_Assigned,Tasks_Completed,Hours_Worked,Attendance,Performance_Score,Completion_Rate
1,Meena,Marketing,19,8,174,93,92,42.10526315789473
2,Sneha,HR,11,6,133,88,86,54.54545454545454
3,Arjun,HR,5,13,137,97,61,100.0
4,Meena,Finance,8,19,146,95,52,100.0
5,Rahul,HR,17,8,183,92,50,47.05882352941176
6,Vikram,HR,8,7,125,95,82,87.5
7,Arjun,HR,18,4,103,74,89,22.22222222222222
8,Arjun,Finance,9,8,193,95,59,88.88888888888889
9,Meena,HR,11,13,111,90,92,100.0
10,Diya,Marketing,11,18,126,99,93,100.0
11,Rahul,Finance,17,18,165,92,78,100.0
12,Meena,Marketing,19,3,102,78,62,15.789473684210526
13,Rahul,Finance,15,11,145,81,61,73.33333333333333
14,Rahul,HR,17,8,106,90,80,47.05882352941176
15,Vikram,Marketing,8,18,185,70,95,100.0
16,Arjun,Finance,17,5,81,95,51,29.411764705882355
17,Sneha,IT,11,6,169,95,99,54.54545454545454
18,Vikram,HR,15,5,96,70,84,33.33333333333333
19,Vikram,Finance,7,9,183,84,72,100.0
20,Rahul,IT,10,11,112,71,66,100.0
21,Kiran,Finance,16,3,88,99,75,18.75
22,Arjun,IT,6,10,122,91,57,100.0
23,Diya,HR,14,9,197,85,78,64.28571428571429
24,Vikram,Marketing,17,10,127,94,75,58.82352941176471
25,Sneha,IT,18,3,118,77,59,16.666666666666664
26,Kiran,Finance,13,13,172,82,75,100.0
27,Kiran,HR,9,12,121,90,83,100.0
28,Diya,IT,10,5,198,70,90,50.0
29,Vikram,Finance,16,9,105,85,56,56.25
30,Sneha,Finance,16,18,178,98,53,100.0
31,Arjun,Finance,16,18,129,76,99,100.0
32,Aarav,IT,16,19,104,74,94,100.0
33,Sneha,IT,8,4,103,91,60,50.0
34,Diya,IT,18,3,92,98,78,16.666666666666664
35,Kiran,Marketing,18,18,139,92,85,100.0
36,Arjun,IT,15,14,86,72,74,93.33333333333331
37,Sneha,IT,14,7,136,81,70,50.0
38,Aarav,IT,11,7,115,95,85,63.63636363636363
39,Aarav,Marketing,16,11,124,85,59,68.75
40,Rahul,IT,13,11,99,88,86,84.61538461538461
41,Rahul,Finance,11,5,144,74,58,45.45454545454545
42,Meena,IT,18,18,87,91,73,100.0
43,Diya,Finance,5,18,189,94,84,100.0
44,Vikram,Finance,5,5,95,98,98,100.0
45,Sneha,Finance,13,3,93,83,84,23.07692307692308
46,Sneha,Marketing,15,13,155,97,97,86.66666666666667
47,Vikram,Marketing,18,19,194,74,85,100.0
48,Meena,Marketing,13,10,166,84,67,76.92307692307693
49,Kiran,IT,8,6,94,86,98,75.0
50,Kiran,Finance,17,8,171,99,88,47.05882352941176
51,Meena,Marketing,13,10,177,83,81,76.92307692307693
52,Kiran,Marketing,7,5,145,99,73,71.42857142857143
53,Rahul,IT,11,18,111,89,72,100.0
54,Sneha,Marketing,10,5,166,74,81,50.0
55,Meena,IT,12,16,142,81,86,100.0
56,Sneha,HR,15,4,165,85,61,26.666666666666668
57,Vikram,Marketing,13,5,130,95,98,38.46153846153847
58,Aarav,HR,18,18,104,95,62,100.0
59,Rahul,IT,9,11,137,85,72,100.0
60,Arjun,Finance,5,6,142,90,74,100.0
61,Rahul,Marketing,7,3,141,76,84,42.85714285714285
62,Meena,IT,14,6,101,73,90,42.85714285714285
63,Arjun,Finance,16,3,137,70,79,18.75
64,Aarav,Finance,12,16,137,99,66,100.0
65,Meena,HR,19,18,165,99,98,94.73684210526316
66,Diya,IT,15,10,128,74,69,66.66666666666666
67,Sneha,Finance,10,9,131,92,97,90.0
68,Aarav,Marketing,12,5,121,95,74,41.66666666666667
69,Sneha,Marketing,13,19,149,79,71,100.0
70,Kiran,HR,8,3,94,91,62,37.5
71,Diya,Finance,5,18,133,74,68,100.0
72,Diya,IT,18,14,186,73,98,77.77777777777779
73,Aarav,Marketing,5,16,139,71,85,100.0
74,Diya,Finance,14,8,180,89,61,57.14285714285714
75,Arjun,Finance,8,8,176,79,90,100.0
76,Diya,HR,16,15,87,95,68,93.75
77,Sneha,Marketing,18,10,132,88,61,55.55555555555556
78,Sneha,Marketing,11,4,139,95,58,36.36363636363637
79,Meena,IT,6,3,187,70,56,50.0
80,Sneha,Marketing,7,17,187,93,77,100.0
81,Meena,IT,5,3,84,74,63,60.0
82,Sneha,Marketing,9,7,182,82,80,77.77777777777779
83,Arjun,HR,5,18,147,73,68,100.0
84,Vikram,Marketing,12,6,85,85,96,50.0
85,Meena,IT,5,5,188,93,65,100.0
86,Rahul,IT,15,19,175,85,54,100.0
87,Kiran,HR,5,19,195,92,84,100.0
88,Aarav,Marketing,6,14,173,71,61,100.0
89,Sneha,Marketing,6,16,126,86,74,100.0
90,Diya,HR,16,8,178,97,70,50.0
91,Vikram,Marketing,10,5,134,96,85,50.0
92,Sneha,Marketing,11,11,119,89,72,100.0
93,Diya,IT,9,7,131,93,65,77.77777777777779
94,Kiran,Marketing,5,19,95,81,88,100.0
95,Kiran,Marketing,5,16,92,87,94,100.0
96,Kiran,HR,7,5,193,72,91,71.42857142857143
97,Diya,HR,18,3,185,97,88,16.666666666666664
98,Sneha,Finance,6,3,109,70,63,50.0
99,Kiran,IT,9,5,98,70,80,55.55555555555556
100,Arjun,Marketing,16,12,96,98,54,75.0
